id,status
459,1
30,1
971,1
502,1
65,1
693,1
545,1
112,1
954,1
600,1
151,1
639,1
186,1
796,1
229,1
837,1
157,1
653,1
260,1
866,1
200,1
770,1
355,1
307,1
903,1
239,1
732,1
396,1
675,1
844,1
329,1
889,1
366,1
934,1
403,1
628,1
452,1
21,1
978,1
565,1
493,1
58,1
602,1
538,1
103,1
11,1
128,1
52,1
161,1
33,1
206,1
836,1
644,1
251,1
875,1
775,1
683,1
300,1
810,1
397,1
666,1
853,1
436,1
758,1
336,1
884,1
375,1
931,1
414,1
342,1
441,1
377,1
985,1
576,1
492,1
424,1
615,1
531,1
98,1
2,1
133,1
53,1
695,1
176,1
92,1
40,1
960,1
215,1
139,1
79,1
254,1
182,1
784,1
118,1
289,1
913,1
817,1
721,1
657,1
280,1
862,1
710,1
319,1
907,1
476,1
747,1
924,1
517,1
349,1
937,1
997,1
386,1
992,1
583,1
483,1
431,1
624,1
524,1
472,1
25,1
966,1
505,1
46,1
550,1
83,1
595,1
148,1
245,1
189,1
789,1
282,1
218,1
832,1
154,1
664,1
271,1
871,1
763,1
703,1
312,1
910,1
806,1
742,1
945,1
516,1
760,1
324,1
555,1
940,1
363,1
586,1
426,1
629,1
461,1
32,1
973,1
564,1
504,1
71,1
543,1
110,1
598,1
121,1
633,1
689,1
188,1
798,1
958,1
227,1
839,1
159,1
655,1
258,1
880,1
194,1
772,1
357,1
301,1
901,1
237,1
813,1
394,1
677,1
842,1
439,1
331,1
895,1
736,1
372,1
936,1
401,1
337,1
943,1
454,1
23,1
980,1
571,1
495,1
64,1
604,1
536,1
101,1
13,1
130,1
50,1
163,1
95,1
35,1
204,1
715,1
76,1
646,1
249,1
873,1
777,1
681,1
294,1
812,1
728,1
668,1
275,1
851,1
434,1
707,1
882,1
373,1
925,1
412,1
344,1
443,1
383,1
987,1
574,1
486,1
422,1
609,1
529,1
465,1
4,1
961,1
135,1
823,1
43,1
170,1
942,1
90,1
999,1
213,1
141,1
77,1
244,1
691,1
184,1
786,1
116,1
291,1
919,1
223,1
819,1
659,1
278,1
860,1
700,1
313,1
905,1
478,1
745,1
950,1
519,1
351,1
560,1
392,1
581,1
720,1
429,1
618,1
522,1
458,1
27,1
968,1
941,1
507,1
68,1
548,1
81,1
593,1
150,1
638,1
191,1
791,1
